segment,customers,churn_rate,avg_tenure,avg_monthly_charges,avg_services,share_of_customers,active_customers,avg_churn_probability,expected_loss_active
"New, high-spend",2410,0.4701244813278008,14.919917012448133,77.29757261410788,4.245643153526971,0.34218372852477635,1277,0.46278004500922204,128122.46467465707
"New, low-spend",1509,0.23856858846918488,10.251822398939694,29.20934393638171,1.6560636182902584,0.21425528893937243,1149,0.2344225772247311,24915.658189387657
"Loyal, high-spend",2152,0.15613382899628253,57.44423791821561,91.29674721189592,6.722583643122676,0.3055516115291779,1816,0.16364467260947096,86749.48719786521
"Loyal, low-spend",972,0.0411522633744856,54.468106995884774,30.125462962962963,2.0617283950617282,0.1380093710066733,932,0.05128536575738295,6344.119466088005
